strike,impliedVolatility,lastPrice,T
110.0,2.8349638500976564,100.3,0.013029788414954337
120.0,1.9140629296875002,90.9,0.013029788414954337
125.0,1.92578162109375,82.62,0.013029788414954337
130.0,2.0449267626953125,77.85,0.013029788414954337
135.0,1.3359408203124996,76.9,0.013029788414954337
140.0,1.3554719726562499,59.53,0.013029788414954337
145.0,1.3261752441406247,68.18,0.013029788414954337
150.0,1.3408236083984373,61.75,0.013029788414954337
155.0,1.115238798828125,57.61,0.013029788414954337
160.0,0.95507857421875,50.48,0.013029788414954337
165.0,0.85937640625,47.51,0.013029788414954337
170.0,0.7949239257812499,41.29,0.013029788414954337
172.5,0.6914093359375001,39.09,0.013029788414954337
175.0,0.6093789062500001,36.4,0.013029788414954337
177.5,0.632816171875,33.01,0.013029788414954337
180.0,0.6621127539062501,31.17,0.013029788414954337
182.5,0.7841818457031251,27.99,0.013029788414954337
185.0,0.6015664843750002,26.5,0.013029788414954337
187.5,0.5800823242187501,24.93,0.013029788414954337
190.0,0.5195360546875,21.55,0.013029788414954337
192.5,0.5302781347656251,18.9,0.013029788414954337
195.0,0.5361374511718751,16.74,0.013029788414954337
197.5,0.45606012695312503,14.25,0.013029788414954337
200.0,0.36817038085937503,11.75,0.013029788414954337
202.5,0.34717449707031245,9.5,0.013029788414954337
205.0,0.31836619140624994,7.37,0.013029788414954337
207.5,0.3012765185546875,5.39,0.013029788414954337
210.0,0.28577374389648436,3.7,0.013029788414954337
212.5,0.27210200561523434,2.39,0.013029788414954337
215.0,0.26758544921875,1.43,0.013029788414954337
217.5,0.2661206201171875,0.8,0.013029788414954337
220.0,0.26929441650390623,0.43,0.013029788414954337
222.5,0.2749095947265625,0.23,0.013029788414954337
225.0,0.28613995117187496,0.12,0.013029788414954337
227.5,0.295905478515625,0.07,0.013029788414954337
230.0,0.317389638671875,0.06,0.013029788414954337
235.0,0.35156898437499995,0.03,0.013029788414954337
240.0,0.4101621484375,0.02,0.013029788414954337
245.0,0.445318046875,0.01,0.013029788414954337
250.0,0.500005,0.01,0.013029788414954337
255.0,0.51562984375,0.01,0.013029788414954337
260.0,0.5312546875,0.01,0.013029788414954337
265.0,0.57812921875,0.01,0.013029788414954337
